Time_s,Speed_ms,Speed_kmh,Distance_m,TTC_s,Brake,Decel_ms2,AEB_Active,Vrel_ms,Ego_X_m,Ego_Y_m
0.002463102340698242,1.0079700984988449e-07,0.0,127.51245880126953,,0.0,0.0,False,,0.7293462157249451,5.550000190734863
0.029216289520263672,1.0072360367985311e-07,0.0,127.51245880126953,,0.0,3.6703085015687975e-09,False,,0.7293462157249451,5.550000190734863
0.055126190185546875,0.0037922989577054977,0.014,127.51245880126953,,0.0,-0.1896099117050909,False,,0.7293510437011719,5.550000190734863
0.08062052726745605,0.09177114069461823,0.33,127.64625549316406,,0.0,-1.0,False,,0.7305622696876526,5.550000190734863
0.10642027854919434,0.16850915551185608,0.607,127.64625549316406,,0.0,-1.0,False,,0.735495388507843,5.550000190734863
0.1325359344482422,0.440838098526001,1.587,127.6473159790039,,0.0,-1.0,False,,0.7460942268371582,5.550000190734863
0.15775823593139648,0.5294994115829468,1.906,127.6473159790039,,0.0,-1.0,False,,0.7532592415809631,5.550000190734863
0.18288135528564453,0.62009197473526,2.232,127.47881317138672,,0.0,-1.0,False,,0.7617985010147095,5.550000190734863
0.20858144760131836,0.818196713924408,2.946,127.47881317138672,,0.0,-1.0,False,,0.7847405672073364,5.550000190734863
0.23417377471923828,1.000008463859558,3.6,127.6614761352539,,0.0,-1.0,False,,0.8111525774002075,5.550000190734863
0.2596151828765869,1.093794584274292,3.938,127.6614761352539,,0.0,-1.0,False,,0.8269003033638,5.550000190734863
0.2854156494140625,1.291407823562622,4.649,127.5774154663086,,0.0,-1.0,False,,0.8651710152626038,5.550000190734863
0.31151700019836426,1.3884470462799072,4.998,127.5774154663086,,0.0,-1.0,False,,0.8866516947746277,5.550000190734863
0.33742403984069824,1.6648755073547363,5.994,127.5654067993164,,0.0,-1.0,False,,0.9585286378860474,5.550000190734863
0.36287927627563477,1.756504774093628,6.323,127.5654067993164,,0.0,-1.0,False,,0.9859179854393005,5.550000190734863
0.3891787528991699,1.8472447395324707,6.65,127.36184692382812,,0.0,-1.0,False,,1.0147662162780762,5.550000190734863
0.41492223739624023,1.9371978044509888,6.974,127.36184692382812,,0.0,-1.0,False,,1.0450626611709595,5.550000190734863
0.44043397903442383,2.1972110271453857,7.91,127.48230743408203,,0.0,-1.0,False,,1.1423237323760986,5.550000190734863
0.4660675525665283,2.2790615558624268,8.205,127.48230743408203,,0.0,-1.0,False,,1.1759295463562012,5.550000190734863
